RUN	conduitApp.performance.PerformanceTest	performancetest	1616162080713	| Performance test suite.	3.0.2
REQUEST	78		Create article: Third title	1616162113062	1616162113621	OK	 
USER	Performance simulation	78	END	1616162113052	1616162113621
USER	Performance simulation	82	START	1616162113712	1616162113712
REQUEST	79		Create article: First title	1616162113222	1616162113828	OK	 
USER	Performance simulation	79	END	1616162113212	1616162113828
USER	Performance simulation	83	START	1616162113882	1616162113882
REQUEST	80		Create article: Second title	1616162113396	1616162113992	OK	 
USER	Performance simulation	80	END	1616162113382	1616162113993
USER	Performance simulation	84	START	1616162114022	1616162114022
REQUEST	81		Create article: Third title	1616162113565	1616162114134	OK	 
USER	Performance simulation	81	END	1616162113552	1616162114135
USER	Performance simulation	85	START	1616162114162	1616162114162
USER	Performance simulation	86	START	1616162114312	1616162114312
REQUEST	82		Create article: First title	1616162113723	1616162114315	OK	 
USER	Performance simulation	82	END	1616162113712	1616162114316
USER	Performance simulation	87	START	1616162114452	1616162114452
REQUEST	83		Create article: Second title	1616162113898	1616162114495	OK	 
USER	Performance simulation	83	END	1616162113882	1616162114495
USER	Performance simulation	88	START	1616162114592	1616162114592
REQUEST	84		Create article: Third title	1616162114030	1616162114595	OK	 
USER	Performance simulation	84	END	1616162114022	1616162114596
USER	Performance simulation	89	START	1616162114742	1616162114742
REQUEST	85		Create article: First title	1616162114172	1616162114753	OK	 
USER	Performance simulation	85	END	1616162114162	1616162114753
REQUEST	87		Create article: Third title	1616162114463	1616162114852	OK	 
USER	Performance simulation	87	END	1616162114452	1616162114852
USER	Performance simulation	90	START	1616162114882	1616162114882
REQUEST	86		Create article: Second title	1616162114319	1616162114921	OK	 
USER	Performance simulation	86	END	1616162114312	1616162114922
USER	Performance simulation	91	START	1616162115022	1616162115022
USER	Performance simulation	92	START	1616162115162	1616162115162
REQUEST	88		Create article: First title	1616162114602	1616162115204	OK	 
USER	Performance simulation	88	END	1616162114592	1616162115206
USER	Performance simulation	93	START	1616162115312	1616162115312
REQUEST	89		Create article: Second title	1616162114751	1616162115324	OK	 
USER	Performance simulation	89	END	1616162114742	1616162115325
USER	Performance simulation	94	START	1616162115452	1616162115452
REQUEST	90		Create article: Third title	1616162114892	1616162115469	OK	 
USER	Performance simulation	90	END	1616162114882	1616162115471
REQUEST	91		Create article: First title	1616162115028	1616162115588	OK	 
USER	Performance simulation	91	END	1616162115022	1616162115590
USER	Performance simulation	95	START	1616162115591	1616162115591
USER	Performance simulation	96	START	1616162115741	1616162115741
REQUEST	92		Create article: Second title	1616162115171	1616162115741	OK	 
USER	Performance simulation	92	END	1616162115162	1616162115742
REQUEST	93		Create article: Third title	1616162115318	1616162115864	OK	 
USER	Performance simulation	93	END	1616162115312	1616162115864
USER	Performance simulation	97	START	1616162115883	1616162115883
USER	Performance simulation	98	START	1616162116003	1616162116003
REQUEST	94		Create article: First title	1616162115460	1616162116046	OK	 
USER	Performance simulation	94	END	1616162115452	1616162116046
USER	Performance simulation	99	START	1616162116132	1616162116132
REQUEST	96		Create article: Third title	1616162115747	1616162116154	OK	 
USER	Performance simulation	96	END	1616162115741	1616162116154
REQUEST	95		Create article: Second title	1616162115603	1616162116185	OK	 
USER	Performance simulation	95	END	1616162115591	1616162116186
USER	Performance simulation	100	START	1616162116252	1616162116252
USER	Performance simulation	101	START	1616162116382	1616162116382
USER	Performance simulation	102	START	1616162116501	1616162116501
REQUEST	97		Create article: First title	1616162115894	1616162116506	OK	 
USER	Performance simulation	97	END	1616162115883	1616162116515
REQUEST	98		Create article: Second title	1616162116012	1616162116564	OK	 
USER	Performance simulation	98	END	1616162116003	1616162116565
